cluster_alias,number_of_cells,label
1,731,CS20230305_0001
10,741,CS20230305_0010
100,1041,CS20230305_0100
1000,59,CS20230305_1000
1001,96,CS20230305_1001
1002,44,CS20230305_1002
1003,230,CS20230305_1003
1004,93,CS20230305_1004
1005,830,CS20230305_1005
1006,45,CS20230305_1006
1007,1274,CS20230305_1007
1008,359,CS20230305_1008
1009,151,CS20230305_1009
101,1120,CS20230305_0101
1010,714,CS20230305_1010
1011,45,CS20230305_1011
1012,161,CS20230305_1012
1013,88,CS20230305_1013
1014,48,CS20230305_1014
1015,44,CS20230305_1015
1016,68,CS20230305_1016
1017,125,CS20230305_1017
1018,1413,CS20230305_1018
1019,449,CS20230305_1019
102,2505,CS20230305_0102
1020,275,CS20230305_1020
1021,315,CS20230305_1021
1022,117,CS20230305_1022
1023,152,CS20230305_1023
1024,378,CS20230305_1024
1025,355,CS20230305_1025
1026,35,CS20230305_1026
1027,965,CS20230305_1027
1028,249,CS20230305_1028
1029,383,CS20230305_1029
103,4209,CS20230305_0103
1030,68,CS20230305_1030
1031,111,CS20230305_1031
1032,139,CS20230305_1032
1033,383,CS20230305_1033
1034,212,CS20230305_1034
1035,39,CS20230305_1035
1036,236,CS20230305_1036
1037,209,CS20230305_1037
1038,119,CS20230305_1038
1039,236,CS20230305_1039
104,1051,CS20230305_0104
1040,265,CS20230305_1040
1041,436,CS20230305_1041
1042,340,CS20230305_1042
1043,202,CS20230305_1043
1044,163,CS20230305_1044
1045,43,CS20230305_1045
1046,191,CS20230305_1046
1047,74,CS20230305_1047
1048,311,CS20230305_1048
1049,121,CS20230305_1049
105,3985,CS20230305_0105
1050,96,CS20230305_1050
1051,83,CS20230305_1051
1052,274,CS20230305_1052
1053,174,CS20230305_1053
1054,66,CS20230305_1054
1055,66,CS20230305_1055
1056,261,CS20230305_1056
1057,241,CS20230305_1057
1058,158,CS20230305_1058
1059,682,CS20230305_1059
106,1889,CS20230305_0106
1060,105,CS20230305_1060
1061,274,CS20230305_1061
1062,644,CS20230305_1062
1063,957,CS20230305_1063
1064,99,CS20230305_1064
1065,53,CS20230305_1065
1066,81,CS20230305_1066
1067,960,CS20230305_1067
1068,102,CS20230305_1068
1069,377,CS20230305_1069
107,1892,CS20230305_0107
1070,267,CS20230305_1070
1071,429,CS20230305_1071
1072,193,CS20230305_1072
1074,790,CS20230305_1074
1075,721,CS20230305_1075
1076,10396,CS20230305_1076
1077,391,CS20230305_1077
1078,164,CS20230305_1078
1079,2077,CS20230305_1079
108,1325,CS20230305_0108
1080,530,CS20230305_1080
1081,177,CS20230305_1081
1082,2892,CS20230305_1082
1083,1541,CS20230305_1083
1084,233,CS20230305_1084
1085,234,CS20230305_1085
1086,3840,CS20230305_1086
1087,433,CS20230305_1087
1088,12021,CS20230305_1088
1089,2177,CS20230305_1089
109,4529,CS20230305_0109
1090,1411,CS20230305_1090
1091,2112,CS20230305_1091
1092,12938,CS20230305_1092
1093,774,CS20230305_1093
1094,86,CS20230305_1094
1095,43,CS20230305_1095
1096,69,CS20230305_1096
1097,110,CS20230305_1097
1098,35,CS20230305_1098
1099,276,CS20230305_1099
11,837,CS20230305_0011
110,3243,CS20230305_0110
1101,507,CS20230305_1101
1102,324,CS20230305_1102
1103,484,CS20230305_1103
1104,73,CS20230305_1104
1105,1206,CS20230305_1105
1106,132,CS20230305_1106
1107,548,CS20230305_1107
1108,353,CS20230305_1108
1109,183,CS20230305_1109
111,3383,CS20230305_0111
1110,55,CS20230305_1110
1111,146,CS20230305_1111
1112,290,CS20230305_1112
1113,68,CS20230305_1113
1114,62,CS20230305_1114
1115,1865,CS20230305_1115
1116,143,CS20230305_1116
1117,155,CS20230305_1117
1118,426,CS20230305_1118
1119,540,CS20230305_1119
112,1783,CS20230305_0112
1120,61,CS20230305_1120
1121,164,CS20230305_1121
1122,254,CS20230305_1122
1123,345,CS20230305_1123
1124,143,CS20230305_1124
1125,306,CS20230305_1125
1126,134,CS20230305_1126
1127,231,CS20230305_1127
1128,455,CS20230305_1128
1129,172,CS20230305_1129
113,2935,CS20230305_0113
1130,121,CS20230305_1130
1131,138,CS20230305_1131
1132,321,CS20230305_1132
1133,119,CS20230305_1133
1134,185,CS20230305_1134
1135,402,CS20230305_1135
1136,115,CS20230305_1136
1137,289,CS20230305_1137
1138,119,CS20230305_1138
1139,241,CS20230305_1139
114,2912,CS20230305_0114
1140,235,CS20230305_1140
1141,161,CS20230305_1141
1142,67,CS20230305_1142
1143,201,CS20230305_1143
1145,732,CS20230305_1145
1146,101,CS20230305_1146
1147,290,CS20230305_1147
1148,104,CS20230305_1148
1149,86,CS20230305_1149
115,755,CS20230305_0115
1150,206,CS20230305_1150
1151,119,CS20230305_1151
1152,125,CS20230305_1152
1153,190,CS20230305_1153
1154,159,CS20230305_1154
1155,108,CS20230305_1155
1156,162,CS20230305_1156
1157,329,CS20230305_1157
1158,169,CS20230305_1158
1159,269,CS20230305_1159
116,2658,CS20230305_0116
1160,175,CS20230305_1160
1161,186,CS20230305_1161
1162,207,CS20230305_1162
1163,134,CS20230305_1163
1164,217,CS20230305_1164
1165,210,CS20230305_1165
1166,143,CS20230305_1166
1167,38,CS20230305_1167
1168,221,CS20230305_1168
1169,239,CS20230305_1169
117,328,CS20230305_0117
1170,170,CS20230305_1170
1171,184,CS20230305_1171
1172,45,CS20230305_1172
1173,150,CS20230305_1173
1174,152,CS20230305_1174
1175,77,CS20230305_1175
1176,652,CS20230305_1176
1177,147,CS20230305_1177
1178,514,CS20230305_1178
1179,666,CS20230305_1179
118,850,CS20230305_0118
1180,83,CS20230305_1180
1181,90,CS20230305_1181
1182,99,CS20230305_1182
1183,42,CS20230305_1183
1184,917,CS20230305_1184
1185,134,CS20230305_1185
1186,434,CS20230305_1186
1187,299,CS20230305_1187
1188,338,CS20230305_1188
1189,9106,CS20230305_1189
119,301,CS20230305_0119
1190,316,CS20230305_1190
1191,1081,CS20230305_1191
1192,1684,CS20230305_1192
1193,231,CS20230305_1193
1194,9453,CS20230305_1194
1195,97,CS20230305_1195
1196,163,CS20230305_1196
1197,473,CS20230305_1197
1198,47,CS20230305_1198
1199,239,CS20230305_1199
12,444,CS20230305_0012
120,9701,CS20230305_0120
1200,142,CS20230305_1200
1201,826,CS20230305_1201
1202,34,CS20230305_1202
1203,111,CS20230305_1203
1204,173,CS20230305_1204
1205,126,CS20230305_1205
1206,111,CS20230305_1206
1207,206,CS20230305_1207
1208,380,CS20230305_1208
1209,154,CS20230305_1209
121,2508,CS20230305_0121
1210,95,CS20230305_1210
1211,113,CS20230305_1211
1212,169,CS20230305_1212
1213,244,CS20230305_1213
1214,120,CS20230305_1214
1215,1328,CS20230305_1215
1216,149,CS20230305_1216
1217,55,CS20230305_1217
1218,273,CS20230305_1218
1219,116,CS20230305_1219
122,2184,CS20230305_0122
1220,89,CS20230305_1220
1221,228,CS20230305_1221
1222,59,CS20230305_1222
1223,105,CS20230305_1223
1224,162,CS20230305_1224
1225,111,CS20230305_1225
1226,328,CS20230305_1226
1227,167,CS20230305_1227
1228,217,CS20230305_1228
1229,314,CS20230305_1229
123,313,CS20230305_0123
1230,399,CS20230305_1230
1231,57,CS20230305_1231
1232,365,CS20230305_1232
1233,428,CS20230305_1233
1234,62,CS20230305_1234
1235,55,CS20230305_1235
1236,142,CS20230305_1236
1237,890,CS20230305_1237
1238,121,CS20230305_1238
1239,45,CS20230305_1239
124,300,CS20230305_0124
1240,151,CS20230305_1240
1241,35,CS20230305_1241
1242,73,CS20230305_1242
1243,40,CS20230305_1243
1244,55,CS20230305_1244
1245,99,CS20230305_1245
1246,465,CS20230305_1246
1247,230,CS20230305_1247
1248,43,CS20230305_1248
1249,94,CS20230305_1249
125,461,CS20230305_0125
1250,50,CS20230305_1250
1251,465,CS20230305_1251
1252,246,CS20230305_1252
1253,244,CS20230305_1253
1254,425,CS20230305_1254
1255,207,CS20230305_1255
1256,136,CS20230305_1256
1257,423,CS20230305_1257
1258,244,CS20230305_1258
1259,129,CS20230305_1259
126,1526,CS20230305_0126
1260,107,CS20230305_1260
1261,3508,CS20230305_1261
1262,3115,CS20230305_1262
1263,594,CS20230305_1263
1264,2328,CS20230305_1264
1265,124,CS20230305_1265
1266,2044,CS20230305_1266
1267,48,CS20230305_1267
1268,1344,CS20230305_1268
1269,65,CS20230305_1269
127,995,CS20230305_0127
1270,191,CS20230305_1270
1271,84,CS20230305_1271
1272,339,CS20230305_1272
1273,485,CS20230305_1273
1274,263,CS20230305_1274
1275,954,CS20230305_1275
1276,4248,CS20230305_1276
1277,4092,CS20230305_1277
1278,158,CS20230305_1278
1279,308,CS20230305_1279
128,4287,CS20230305_0128
1280,349,CS20230305_1280
1281,59,CS20230305_1281
1282,30,CS20230305_1282
1283,39,CS20230305_1283
1284,148,CS20230305_1284
1285,195,CS20230305_1285
1286,302,CS20230305_1286
1287,40,CS20230305_1287
1288,682,CS20230305_1288
1289,136,CS20230305_1289
129,3232,CS20230305_0129
1290,217,CS20230305_1290
1291,60,CS20230305_1291
1292,260,CS20230305_1292
1293,132,CS20230305_1293
1294,110,CS20230305_1294
1295,197,CS20230305_1295
1296,238,CS20230305_1296
1297,220,CS20230305_1297
1298,229,CS20230305_1298
1299,1005,CS20230305_1299
13,1852,CS20230305_0013
130,12285,CS20230305_0130
1300,406,CS20230305_1300
1301,259,CS20230305_1301
1302,3118,CS20230305_1302
1303,323,CS20230305_1303
1304,1972,CS20230305_1304
1305,4280,CS20230305_1305
1306,924,CS20230305_1306
1307,1723,CS20230305_1307
1308,514,CS20230305_1308
1309,832,CS20230305_1309
131,1057,CS20230305_0131
1310,2663,CS20230305_1310
1311,159,CS20230305_1311
1312,451,CS20230305_1312
1313,459,CS20230305_1313
1314,168,CS20230305_1314
1315,59,CS20230305_1315
1316,1664,CS20230305_1316
1317,388,CS20230305_1317
1318,4735,CS20230305_1318
1319,4243,CS20230305_1319
132,4840,CS20230305_0132
1320,1261,CS20230305_1320
1321,1085,CS20230305_1321
1322,1455,CS20230305_1322
1323,400,CS20230305_1323
1324,147,CS20230305_1324
1325,501,CS20230305_1325
1326,720,CS20230305_1326
1327,6228,CS20230305_1327
1328,2342,CS20230305_1328
1329,217,CS20230305_1329
133,2005,CS20230305_0133
1330,733,CS20230305_1330
1331,4608,CS20230305_1331
1332,1344,CS20230305_1332
1333,8169,CS20230305_1333
1334,12430,CS20230305_1334
1335,8095,CS20230305_1335
1336,3137,CS20230305_1336
1337,306,CS20230305_1337
1338,196,CS20230305_1338
1339,680,CS20230305_1339
134,4395,CS20230305_0134
1340,56,CS20230305_1340
1341,23,CS20230305_1341
1342,221,CS20230305_1342
1343,89,CS20230305_1343
1344,102,CS20230305_1344
1345,41,CS20230305_1345
1346,61,CS20230305_1346
1347,3473,CS20230305_1347
1348,173,CS20230305_1348
1349,337,CS20230305_1349
135,5380,CS20230305_0135
1350,1492,CS20230305_1350
1351,125,CS20230305_1351
1352,299,CS20230305_1352
1353,599,CS20230305_1353
1354,245,CS20230305_1354
1355,255,CS20230305_1355
1356,47,CS20230305_1356
1357,41,CS20230305_1357
1358,21,CS20230305_1358
1359,650,CS20230305_1359
136,1666,CS20230305_0136
1360,242,CS20230305_1360
1361,86,CS20230305_1361
1362,33,CS20230305_1362
1363,100,CS20230305_1363
1364,177,CS20230305_1364
1365,117,CS20230305_1365
1366,254,CS20230305_1366
1367,220,CS20230305_1367
1368,173,CS20230305_1368
1369,426,CS20230305_1369
137,9899,CS20230305_0137
1370,694,CS20230305_1370
1371,174,CS20230305_1371
1372,108,CS20230305_1372
1373,160,CS20230305_1373
1374,216,CS20230305_1374
1375,236,CS20230305_1375
1376,179,CS20230305_1376
1377,119,CS20230305_1377
1378,74,CS20230305_1378
1379,159,CS20230305_1379
138,9585,CS20230305_0138
1380,106,CS20230305_1380
1381,173,CS20230305_1381
1382,208,CS20230305_1382
1383,456,CS20230305_1383
1384,1268,CS20230305_1384
1385,1378,CS20230305_1385
1386,1136,CS20230305_1386
1387,527,CS20230305_1387
1388,357,CS20230305_1388
1389,145,CS20230305_1389
139,5674,CS20230305_0139
1390,261,CS20230305_1390
1391,531,CS20230305_1391
1392,910,CS20230305_1392
1393,257,CS20230305_1393
1394,67,CS20230305_1394
1395,872,CS20230305_1395
1396,671,CS20230305_1396
1397,889,CS20230305_1397
1398,302,CS20230305_1398
1399,851,CS20230305_1399
14,1200,CS20230305_0014
