cl,cluster_id,cluster_id_label,supertype_id,supertype_label,supertype_id_label,subclass_id,subclass_label,subclass_id_label,class_id,class_label,class_id_label,neighborhood,anatomical_annotation,notes,CCF_broad.freq,CCF_acronym.freq,v3.size,v2.size,multiome.size,F,M,sex.bias,Dark,Light,nt_type_label,nt.markers,nt_type_combo_label,np.markers,cluster.markers.combo,merfish.markers.combo,cluster.TF.markers.combo,cluster.markers.combo (within subclass),CTX.cluster_id,CTX.cluster_label,CTX.supertype_id,CTX.supertype_label,CTX.subclass_id,CTX.subclass_id,CTX.neighborhood_id,CTX.neighborhood_label,CTX.size,taxonomy_id,cell_set_accession.cluster,cell_set_accession.supertype,cell_set_accession.subclass,cell_set_accession.class
128,1,0001 CLA-EPd-CTX Car3 Glut_1,1,CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,1,CLA-EPd-CTX Car3 Glut,001 CLA-EPd-CTX Car3 Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,CLA-EPd-iCTX,,"Isocortex:0.57,CTXsp:0.21,OLF:0.2","EPd:0.11,OLF:0.11,SSs6a:0.1,CLA:0.09,PIR:0.09,AId6a:0.07,MOp6a:0.06,GU6a:0.06,AIv5:0.04,VISC6a:0.03,SSp-m6a:0.03,AIv6a:0.02",469,3793,0,0.5,0.5,,0.02,0.98,Glut,"Slc17a7:9.91,Slc17a6:4.87",Glut,"Cck:9.5,Cartpt:3.7","Car3,Satb2,Lgr5","Col24a1,Smoc2,Slc17a7,Mctp2,Irs4,Synpr","Satb2,Nr2f2,Rarb,Rorb,Pou6f2,Nr4a2",Lgr5,238,238_Car3_2,45,Car3,21,Car3,4,L4_5_6_IT_Car3,1937,CCN202307220,CS20230722_CLUS_0001,CS20230722_SUPT_0001,CS20230722_SUBC_001,CS20230722_CLAS_01
129,2,0002 CLA-EPd-CTX Car3 Glut_1,1,CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,1,CLA-EPd-CTX Car3 Glut,001 CLA-EPd-CTX Car3 Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,"CLA-iCTX, EPd po",,"Isocortex:0.64,CTXsp:0.24","CLA:0.12,EPd:0.1,GU6a:0.07,SSs6a:0.06,VISC6a:0.06,TEa6a:0.06,TEa5:0.05,AId6a:0.05,AIp6a:0.05,ECT6a:0.03,ECT5:0.03,ee:0.02,ENTl6a:0.02,AUDv5:0.02,scwm:0.02,ENTl5:0.01,AUDv6a:0.01,SSs6b:0.01",217,3005,0,0.52,0.48,,0.02,0.98,Glut,Slc17a7:9.58,Glut,Cck:9,"Car3,Slc17a7,4930407I19Rik","Osr1,Kcnip1,Irs4","Osr1,Satb2,Cux2",4930407I19Rik,238,238_Car3_3,45,Car3,21,Car3,4,L4_5_6_IT_Car3,1712,CCN202307220,CS20230722_CLUS_0002,CS20230722_SUPT_0001,CS20230722_SUBC_001,CS20230722_CLAS_01
130,3,0003 CLA-EPd-CTX Car3 Glut_1,1,CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,1,CLA-EPd-CTX Car3 Glut,001 CLA-EPd-CTX Car3 Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,TPE-AI mostly,,Isocortex:0.9,"SSs6a:0.11,TEa6a:0.1,AId6a:0.1,GU6a:0.08,TEa5:0.08,CLA:0.06,MOp6a:0.06,AUDv6a:0.05,AUDv5:0.04,VISC6a:0.04,SSp-m6a:0.02,ECT5:0.02,TEa4:0.02,ECT6a:0.02,AId5:0.01",887,11329,0,0.44,0.56,,0.04,0.96,Glut,"Slc17a7:9.45,Slc17a6:6.26",Glut,Cck:9.6,"Car3,Satb2,Ccbe1","Smoc2,Col24a1,Cntnap3,Ccbe1","Satb2,Zfhx4,Ovol2,Nr2f2,Rarb,Zfpm2",Ccbe1,237,237_Car3_1,45,Car3,21,Car3,4,L4_5_6_IT_Car3,9576,CCN202307220,CS20230722_CLUS_0003,CS20230722_SUPT_0001,CS20230722_SUBC_001,CS20230722_CLAS_01
143,4,0004 CLA-EPd-CTX Car3 Glut_1,1,CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,1,CLA-EPd-CTX Car3 Glut,001 CLA-EPd-CTX Car3 Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,iCTX,,Isocortex:0.96,"SSs6a:0.23,SSs5:0.09,SSp-bfd6a:0.06,SSp-n6a:0.04,AId6a:0.04,SSp-bfd5:0.04,SSp-m6a:0.04,AUDp5:0.03,AUDv5:0.03,MOp6a:0.03,MOs6a:0.02,AUDv4:0.02,CLA:0.02,AUDd5:0.02,TEa5:0.02,AUDd6a:0.02,VISl5:0.01,SSs4:0.01,AUDp4:0.01,VISp5:0.01,scwm:0.01,SSp-m5:0.01",705,8629,0,0.46,0.54,,0.04,0.96,Glut,"Slc17a7:9.48,Slc17a6:6.21,Aldh1a1:5.03",Glut,"Cck:9.9,Cartpt:5.6,Nmb:3.9","Car3,Rxfp1,Tspan11","Col24a1,Igfbp6,Rspo1,Synpr,Rorb","Satb2,Maf,Nr4a2,Nr2f2,Ovol2,Zfhx4",Tspan11,236,236_Car3,45,Car3,21,Car3,4,L4_5_6_IT_Car3,7469,CCN202307220,CS20230722_CLUS_0004,CS20230722_SUPT_0001,CS20230722_SUBC_001,CS20230722_CLAS_01
131,5,0005 CLA-EPd-CTX Car3 Glut_2,2,CLA-EPd-CTX Car3 Glut_2,0002 CLA-EPd-CTX Car3 Glut_2,1,CLA-EPd-CTX Car3 Glut,001 CLA-EPd-CTX Car3 Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPd,,"Isocortex:0.56,CTXsp:0.31","EPd:0.2,CLA:0.11,AIp6a:0.06,AId6a:0.06,PIR:0.05,SSs6a:0.05,TEa6a:0.04,AIp5:0.04,VISC6a:0.04,TEa5:0.03,ee:0.03,OLF:0.02,AIv5:0.02,GU6a:0.02,AIv6a:0.02,AUDv5:0.02",42,1014,0,0.65,0.35,,0.01,0.99,Glut,"Slc17a7:9.71,Slc17a6:4.48",Glut,Cck:8.6,"Ccnb1,Gtf2a1l,Egr2","Egr2,Cbln1,Ccn4","Egr2,Onecut1,Tcf7l1",Egr2,238,238_Car3_4,45,Car3,21,Car3,4,L4_5_6_IT_Car3,360,CCN202307220,CS20230722_CLUS_0005,CS20230722_SUPT_0002,CS20230722_SUBC_001,CS20230722_CLAS_01
116,6,0006 IT EP-CLA Glut_1,3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,CLA-AI?,,"Isocortex:0.73,CTXsp:0.14","CLA:0.12,VISC6a:0.1,GU6a:0.1,ECT6a:0.06,SSs6a:0.06,AIp6a:0.06,AId6a:0.05,TEa6a:0.05,ec:0.05,ECT6b:0.02,VISC6b:0.02,amc:0.02,AUDv6a:0.02,ACAv5:0.02,AIp5:0.01,TEa6b:0.01,AIp6b:0.01,EPd:0.01",727,1921,0,0.46,0.54,,0.1,0.9,Glut,Slc17a7:9.67,Glut,"Cck:9.4,Npy:4.8","Alkal1,C1ql3,Tpbgl,Grin2b","Osr1,C1ql3,Ccdc3,Drd2,Cnih3,Adamts2,Plpp4,Nr4a2","Osr1,Satb2,Hopx,Foxo1,Tox,Nr4a2","Alkal1,Plpp4",226,226_L6 IT CTX_2,41,Penk,19,L6 IT CTX,4,L4_5_6_IT_Car3,1283,CCN202307220,CS20230722_CLUS_0006,CS20230722_SUPT_0003,CS20230722_SUBC_002,CS20230722_CLAS_01
120,7,0007 IT EP-CLA Glut_1,3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPd,,"CTXsp:0.6,Isocortex:0.29","EPd:0.39,CLA:0.21,AIp6a:0.1,VISC6a:0.07,GU6a:0.04",4866,4815,0,0.55,0.45,,0.12,0.88,Glut,Slc17a7:9.45,Glut,Cck:9,"Tll2,Slc17a7,Scube2,Npsr1","Osr1,Npsr1,Foxo1,Dchs2,Oprk1","Osr1,Satb2,Foxo1,Id4,Lin28b,Tox","Scube2,Chrdl1",225,225_L6 IT CTX_1,41,Penk,19,L6 IT CTX,4,L4_5_6_IT_Car3,955,CCN202307220,CS20230722_CLUS_0007,CS20230722_SUPT_0003,CS20230722_SUBC_002,CS20230722_CLAS_01
121,8,0008 IT EP-CLA Glut_1,3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,CLA-EPd an,,"Isocortex:0.68,CTXsp:0.27","CLA:0.25,AId6a:0.12,GU6a:0.08,VISC6a:0.05,SSs6a:0.05,AIv5:0.03,MOp6a:0.03,AIv6a:0.03,AIp6a:0.02,ORBl5:0.02,PL6a:0.02,EPd:0.02,ORBm6a:0.01,ACAd6a:0.01,ACAv6a:0.01,CP:0.01,OLF:0.01,SSs6b:0.01,ORBvl5:0.01,TEa6a:0.01,VISC6b:0.01",850,1622,0,0.51,0.49,,0.09,0.91,Glut,Slc17a7:9.78,Glut,Cck:9.4,"Lipg,Satb2,Spag16,Tpbg","Ccn3,Slc7a11,Gpr88,Nptx2,Chst9,Tox","Satb2,Pparg,Esr1,Ovol2,Fos,Tox3","Lipg,Serinc2,Csrnp1,Klf5",224,224_L6 IT CTX_1,41,Penk,19,L6 IT CTX,4,L4_5_6_IT_Car3,793,CCN202307220,CS20230722_CLUS_0008,CS20230722_SUPT_0003,CS20230722_SUBC_002,CS20230722_CLAS_01
122,9,0009 IT EP-CLA Glut_1,3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPd an,,"CTXsp:0.43,Isocortex:0.33,OLF:0.23","CLA:0.27,OLF:0.19,EPd:0.16,AIv6a:0.08,AIv5:0.08,AId6a:0.05",539,1628,0,0.55,0.45,,0.04,0.96,Glut,Slc17a7:10.25,Glut,Cck:9.6,"Cwh43,Npsr1,Ccnb1,Col19a1","Npsr1,Slc17a7,Kazald1,Chst9,Rorb,Vwc2l","Satb2,Elk3,Foxo6,Rorb,Tox3,Meis2","Rnf152,Tll2,Rorb",224,224_L6 IT CTX_2,41,Penk,19,L6 IT CTX,4,L4_5_6_IT_Car3,273,CCN202307220,CS20230722_CLUS_0009,CS20230722_SUPT_0003,CS20230722_SUBC_002,CS20230722_CLAS_01
125,10,0010 IT EP-CLA Glut_1,3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPd,close to Car3,"Isocortex:0.5,CTXsp:0.38","EPd:0.19,CLA:0.18,AId6a:0.07,GU6a:0.06,AIp6a:0.05,PIR:0.05,AIv5:0.04,VISC6a:0.04,AIp5:0.03,AIv6a:0.03,OLF:0.03,MOp6a:0.03",77,364,0,0.64,0.36,,0.02,0.98,Glut,Slc17a7:9.94,Glut,Cck:9.2,"Osr1,Lcp1,Lepr,Vwc2l","Osr1,Kcnip1,Cntnap3,Shisa6,Vwc2l","Osr1,Satb2,Nr2f2,Pou6f2,Tshz1,Stat5b",Lepr,238,238_Car3_1,45,Car3,21,Car3,4,L4_5_6_IT_Car3,80,CCN202307220,CS20230722_CLUS_0010,CS20230722_SUPT_0003,CS20230722_SUBC_002,CS20230722_CLAS_01
