supertype_id,supertype_label,supertype_id_label,supertype.markers.combo,supertype.markers.combo (within subclass),subclass_id,subclass_label,subclass_id_label,class_id,class_label,class_id_label,cell_set_accession.supertype,cell_set_accession.subclass,cell_set_accession.class
1,CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,"Car3,Nrg3,Gm34567",Itga8,1,CLA-EPd-CTX Car3 Glut,001 CLA-EPd-CTX Car3 Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0001,CS20230722_SUBC_001,CS20230722_CLAS_01
2,CLA-EPd-CTX Car3 Glut_2,0002 CLA-EPd-CTX Car3 Glut_2,"Ccnb1,Tcf7l1",Egr2,1,CLA-EPd-CTX Car3 Glut,001 CLA-EPd-CTX Car3 Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0002,CS20230722_SUBC_001,CS20230722_CLAS_01
3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,"Osr1,Satb2,Gpr88,Ccdc80,Lhfp","Sema5b,Tll2,5330416C01Rik,Oprk1",2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0003,CS20230722_SUBC_002,CS20230722_CLAS_01
4,IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,"Osr1,Lcp1,Nrg1,Arhgef26","Dlk1,Lcp1,Adcy8,Nell1",2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0004,CS20230722_SUBC_002,CS20230722_CLAS_01
5,IT EP-CLA Glut_3,0005 IT EP-CLA Glut_3,"Abca8a,Npsr1,Adam33",Gpx3,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0005,CS20230722_SUBC_002,CS20230722_CLAS_01
6,IT EP-CLA Glut_4,0006 IT EP-CLA Glut_4,"Blnk,Adamts4,Rspo2,Myl4","Pdzrn3,Meis2",2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0006,CS20230722_SUBC_002,CS20230722_CLAS_01
7,L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,"Susd5,Cyp26b1,Inhbb,Gpc4",Thsd7a,3,L5/6 IT TPE-ENT Glut,003 L5/6 IT TPE-ENT Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0007,CS20230722_SUBC_003,CS20230722_CLAS_01
8,L5/6 IT TPE-ENT Glut_2,0008 L5/6 IT TPE-ENT Glut_2,"Tnfaip6,Ovol2,Etv1","Tnfaip6,Ccnd1,Sema3e,Hpcal1",3,L5/6 IT TPE-ENT Glut,003 L5/6 IT TPE-ENT Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0008,CS20230722_SUBC_003,CS20230722_CLAS_01
9,L5/6 IT TPE-ENT Glut_3,0009 L5/6 IT TPE-ENT Glut_3,"1700023F02Rik,Lpl,Smoc2",Plekha2,3,L5/6 IT TPE-ENT Glut,003 L5/6 IT TPE-ENT Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0009,CS20230722_SUBC_003,CS20230722_CLAS_01
10,L5/6 IT TPE-ENT Glut_4,0010 L5/6 IT TPE-ENT Glut_4,"Dcn,Susd5,Fibcd1,Stra6","Fibcd1,Rorb,St5",3,L5/6 IT TPE-ENT Glut,003 L5/6 IT TPE-ENT Glut,1,IT-ET Glut,01 IT-ET Glut,CS20230722_SUPT_0010,CS20230722_SUBC_003,CS20230722_CLAS_01
